,sample,strain,ref_file,condition,fastq1,fastq2,growth_media,og_strains,day,well
0,ASC1-0_S17,B8,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/B8_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/ASC1-0_S17/B8.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/ASC1-0_S17/B8.strict_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,ASC1
1,ASC1-0_S17,B8,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/B8_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/ASC1-0_S17/B8.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/ASC1-0_S17/B8.permissive_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,ASC1
2,ASC1-0_S17,C5,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/C5_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/ASC1-0_S17/C5.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/ASC1-0_S17/C5.strict_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,ASC1
3,ASC1-0_S17,C5,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/C5_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/ASC1-0_S17/C5.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/ASC1-0_S17/C5.permissive_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,ASC1
4,ASC1-0_S17,H1,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/H1_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/ASC1-0_S17/H1.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/ASC1-0_S17/H1.strict_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,ASC1
5,ASC1-0_S17,H1,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/H1_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/ASC1-0_S17/H1.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/ASC1-0_S17/H1.permissive_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,ASC1
6,AC2-0_S16,B8,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/B8_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/B8.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/B8.strict_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,AC2
7,AC2-0_S16,B8,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/B8_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/B8.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/B8.permissive_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,AC2
8,AC2-0_S16,D2,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/D2_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/D2.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/D2.strict_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,AC2
9,AC2-0_S16,D2,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/D2_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/D2.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/D2.permissive_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,AC2
10,AC2-0_S16,H1,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/H1_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/H1.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/H1.strict_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,AC2
11,AC2-0_S16,H1,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/H1_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/H1.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/H1.permissive_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,AC2
12,AC2-0_S16,D5,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/D5_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/D5.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/D5.strict_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,AC2
13,AC2-0_S16,D5,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/D5_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/D5.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/AC2-0_S16/D5.permissive_R2.fastq.gz,CONTROL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",0,AC2
